seed,beta,duration,heartbeats_sent,heartbeats_delivered,false_elections,safety_violations,availability
27,0.05,10.0,800,754,0,287,1.0
27,0.1,10.0,800,791,0,272,1.0
27,0.15000000000000002,10.0,792,763,0,212,1.0
27,0.2,10.0,784,726,0,181,1.0
27,0.25,10.0,776,688,0,179,1.0
27,0.30000000000000004,10.0,764,652,0,172,1.0
27,0.35000000000000003,10.0,752,617,0,165,1.0
27,0.4,10.0,736,582,0,175,1.0
27,0.45,10.0,716,548,0,158,1.0
27,0.5,10.0,696,514,0,156,1.0
27,0.55,10.0,672,480,0,151,1.0
27,0.6000000000000001,10.0,644,446,1,120,0.17898286548291797
27,0.65,10.0,608,410,1,115,0.1599167849463603
27,0.7000000000000001,10.0,572,374,1,117,0.14840584615897112
27,0.75,10.0,532,337,4,104,0.13800385798272197
27,0.8,10.0,484,298,4,96,0.13034652837570937
27,0.8500000000000001,10.0,424,254,4,72,0.12209141730344641
27,0.9,10.0,352,205,4,58,0.11531601931576851
28,0.0,10.0,800,714,0,210,1.0
28,0.05,10.0,800,754,0,286,1.0
28,0.1,10.0,796,790,0,267,1.0
28,0.15000000000000002,10.0,792,763,0,193,1.0
28,0.2,10.0,784,726,0,172,1.0
28,0.25,10.0,776,688,0,186,1.0
28,0.30000000000000004,10.0,764,652,0,178,1.0
28,0.35000000000000003,10.0,752,617,0,174,1.0
28,0.4,10.0,736,582,0,165,1.0
28,0.45,10.0,716,548,0,172,1.0
28,0.5,10.0,696,514,0,141,1.0
28,0.55,10.0,672,480,0,135,1.0
28,0.6000000000000001,10.0,640,444,1,132,0.17904888489891524
28,0.65,10.0,608,410,1,116,0.15992158592454098
28,0.7000000000000001,10.0,572,374,1,109,0.14841428445357363
28,0.75,10.0,532,337,4,110,0.1380112317763682
28,0.8,10.0,480,297,4,80,0.13036532897584308
28,0.8500000000000001,10.0,424,254,4,80,0.12209383280012565
28,0.9,10.0,352,205,4,66,0.11531576413163136
29,0.0,10.0,800,714,0,205,1.0
29,0.05,10.0,800,754,0,308,1.0
29,0.1,10.0,796,790,0,279,1.0
29,0.15000000000000002,10.0,792,763,0,213,1.0
29,0.2,10.0,784,726,0,207,1.0
29,0.25,10.0,776,688,0,188,1.0
29,0.30000000000000004,10.0,764,652,0,198,1.0
29,0.35000000000000003,10.0,752,617,0,174,1.0
29,0.4,10.0,736,582,0,193,1.0
